Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12798316,2020-11-16 21:51:20,2020-10-08 16:30:58,13233203,3996427306,13233203,302,1516,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/012498/SRR12798316,SRX9267366,T145121,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496845,SAMN16380871,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D04,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,C19EC9E5A7CE983223FDE297AFEBFD4C,244C0040012643496E35566CA9988D06
SRR12798307,2020-11-16 21:51:21,2020-10-08 16:33:09,15034128,4540306656,15034128,302,1906,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/012498/SRR12798307,SRX9267375,T144879,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496855,SAMN16380879,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D05,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,B135BC71666DBEEF53ADEA9307AA6147,FF0500CE414C675187DFD98C0AEB9C5B
SRR12798298,2020-11-16 21:51:21,2020-10-08 16:29:46,12322577,3721418254,12322577,302,1505,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/012498/SRR12798298,SRX9267384,T144924,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496863,SAMN16380887,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D06,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,FDA9A42339AB2B922D40BB3E100714DD,029D276978BB6F781D4187B3AFED1332
SRR12798369,2020-11-16 21:51:20,2020-10-08 16:32:28,16273671,4914648642,16273671,302,2022,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/012498/SRR12798369,SRX9267313,T145146,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496793,SAMN16380903,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D08,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,B2FF6895A6E0EBD80DED5610C4D0C717,C3C5B768BC0BC319C9BE305B00A7678C
SRR12798296,2020-11-16 21:51:21,2020-10-08 16:28:47,16510377,4986133854,16510377,302,2127,,https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/012498/SRR12798296,SRX9267386,T144967,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496865,SAMN16380911,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D09,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,26910CF09B155347C1B2DA08B18C4F3B,9E7A0EAAE96F8CB5C50F03C03E1D5D63
SRR12798287,2020-11-16 21:51:21,2020-10-08 16:27:34,12382659,3739563018,12382659,302,1547,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/012498/SRR12798287,SRX9267395,T144990,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496876,SAMN16380919,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D10,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,D7AD1DB05EF4EFEC04349D8E2777E5A1,869B650893697A61485A0C35FE144637
SRR12798278,2020-11-16 21:51:21,2020-10-08 16:35:24,18195068,5494910536,18195068,302,2333,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/012498/SRR12798278,SRX9267404,T145163,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496883,SAMN16380927,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D11,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,22D4A4B4D880829119163A9C89907918,CD986617EF06E1A61B38DDA90DBD7EEC
SRR12798357,2020-11-16 21:51:20,2020-10-08 16:39:52,16291772,4920115144,16291772,302,2058,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/012498/SRR12798357,SRX9267325,T145214,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496805,SAMN16380935,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D12,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,40F7AFED0FA1DF43C35C906BD247E3A7,FE33A5C615EF52A9C7B9E3B5E59451DE
SRR12798302,2020-11-16 21:51:21,2020-10-08 16:28:05,11812408,3567347216,11812408,302,1386,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/012498/SRR12798302,SRX9267380,T144778,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496860,SAMN16380848,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_E01,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,2CC0A1763A2867E7C574B72291BD8487,C1D9D714B693EC38D31A7D336831AEA4
SRR12798315,2020-11-16 21:51:21,2020-10-08 16:26:20,12696772,3834425144,12696772,302,1449,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/012498/SRR12798315,SRX9267367,T145123,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496847,SAMN16380872,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_E04,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,DCCFBCD2CD48403D2ADD80526485F23E,F999D147331D123BDB3E8AA1D7C467F6
SRR12798306,2020-11-16 21:51:21,2020-10-08 16:27:23,9273884,2800712968,9273884,302,1145,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/012498/SRR12798306,SRX9267376,T144893,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496856,SAMN16380880,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_E05,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,B3E227B122203A67654C847F392D2442,D2D54D1458937BF1D9C8FFED49BBA940
SRR12798367,2020-11-16 21:51:20,2020-10-08 16:24:38,5076713,1533167326,5076713,302,650,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/012498/SRR12798367,SRX9267315,T145147,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496795,SAMN16380904,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_E08,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,912A559D2B1EE88EC65F6DB7C5CC8CD1,25C8168F8FBCD381804AF6CEF74D12B8
